price,lprice,square,rooms,floor,mfloor,station,metro,ametro,dmetro,link,add,lat,lon
123600000,18.632561102987864,182.0,5,4,9,метро Таганская,19 минут пешком,1,19,https://www.cian.ru/sale/flat/314016958/,"Наставнический пер., 3",55.751903,37.664069
450000000,19.92475814072864,265.6,5,7,8,метро Таганская,9 минут пешком,1,9,https://www.cian.ru/sale/flat/314193079/,"Котельническая наб., 21",55.743811,37.6448
450000000,19.92475814072864,265.6,5,7,8,метро Таганская,9 минут пешком,1,9,https://www.cian.ru/sale/flat/314192802/,"Котельническая наб., 21",55.743811,37.6448
276500000,19.437721378926664,212.0,4,21,21,метро Таганская,20 минут пешком,1,20,https://www.cian.ru/sale/flat/316201238/,"пл. Курского Вокзала, 1",55.755875,37.659919
73500000,18.112795964183064,80.4,2,8,21,метро Таганская,20 минут пешком,1,20,https://www.cian.ru/sale/flat/316201233/,"пл. Курского Вокзала, 1",55.755875,37.659919
67287900,18.024490986474216,63.5,1,7,9,метро Таганская,17 минут пешком,1,17,https://www.cian.ru/sale/flat/313595400/,"Серебрянический пер., 8",55.7502,37.647091
101500000,18.43556935644612,115.0,3,19,21,метро Таганская,20 минут пешком,1,20,https://www.cian.ru/sale/flat/315969214/,"пл. Курского Вокзала, 1",55.755875,37.659919
244000000,19.312678783257475,175.0,4,3,7,метро Таганская,5 минут на транспорте,0,5,https://www.cian.ru/sale/flat/314792516/,"Садовническая ул., 57С2",55.739975,37.641234
32500000,17.296750647299966,40.2,1,2,40,метро ЦСКА,11 минут пешком,1,11,https://www.cian.ru/sale/flat/309525051/,"Ленинградский просп., 37/4",55.793313,37.540533
77000000,18.15931597981796,88.6,3,28,41,метро ЦСКА,15 минут пешком,1,15,https://www.cian.ru/sale/flat/314287577/,"Ленинградский просп., 37/7",55.793698,37.543192
82500000,18.22830885130491,82.3,3,37,41,метро ЦСКА,13 минут пешком,1,13,https://www.cian.ru/sale/flat/305070032/,"Ленинградский просп., 37/6",55.794173,37.542222
102500000,18.44537335654274,164.7,4,20,41,метро ЦСКА,13 минут пешком,1,13,https://www.cian.ru/sale/flat/313914715/,"Ленинградский просп., 37/6",55.794173,37.542222
95000000,18.36938744956481,98.0,3,35,41,метро ЦСКА,13 минут пешком,1,13,https://www.cian.ru/sale/flat/316117452/,"Ленинградский просп., 37/3",55.79307,37.541862
24000000,16.99356438831222,74.6,3,7,17,метро ЦСКА,18 минут пешком,1,18,https://www.cian.ru/sale/flat/316030818/,"Хорошевское ш., 17",55.775854,37.531702
34000000,17.341871082580436,54.4,2,19,24,метро ЦСКА,9 минут пешком,1,9,https://www.cian.ru/sale/flat/316627018/,"ул. Авиаконструктора Сухого, 2к1",55.786414,37.542572
44500000,17.610999747136468,81.0,3,6,24,метро ЦСКА,9 минут пешком,1,9,https://www.cian.ru/sale/flat/316488074/,"ул. Авиаконструктора Сухого, 2к1",55.786414,37.542572
75000000,18.132998671500584,180.8,5,9,19,метро ЦСКА,7 минут на транспорте,0,7,https://www.cian.ru/sale/flat/302308573/,"ул. Викторенко, 4К1",55.798358,37.527462
22500000,16.929025867174648,72.7,3,1,6,метро ЦСКА,19 минут пешком,1,19,https://www.cian.ru/sale/flat/314561117/,"2-я Песчаная ул., 2к3",55.793627,37.517707
27300000,17.12239726015519,71.7,3,4,6,метро ЦСКА,7 минут на транспорте,0,7,https://www.cian.ru/sale/flat/314966911/,"Ленинградский просп., 45К2",55.79808,37.533643
55000000,17.822843743196746,124.0,4,13,17,метро ЦСКА,16 минут пешком,1,16,https://www.cian.ru/sale/flat/308278113/,"Ленинградский просп., 35С2",55.790671,37.550145
66900000,18.01870952509846,146.9,4,28,32,метро ЦСКА,6 минут пешком,1,6,https://www.cian.ru/sale/flat/315774474/,"Ходынский бул., 5к4",55.783357,37.533544
110900000,18.5241394523206,160.0,5,31,38,метро ЦСКА,13 минут пешком,1,13,https://www.cian.ru/sale/flat/316794449/,"Ленинградский просп., 37/2",55.792513,37.542689
33500000,17.327055996795295,41.0,1,4,41,метро ЦСКА,13 минут пешком,1,13,https://www.cian.ru/sale/flat/316341853/,"Ленинградский просп., 37/3",55.79307,37.541862
110900000,18.5241394523206,160.0,5,31,38,метро ЦСКА,13 минут пешком,1,13,https://www.cian.ru/sale/flat/316794293/,"Ленинградский просп., 37/2",55.792513,37.542689
21000000,16.860032995687696,58.4,3,4,9,метро ЦСКА,16 минут пешком,1,16,https://www.cian.ru/sale/flat/311489322/,"ул. Куусинена, 4Ак4",55.78078,37.519611
15800000,16.575520497997196,31.0,1,5,9,метро ЦСКА,7 минут на транспорте,0,7,https://www.cian.ru/sale/flat/310201489/,"Ленинградский просп., 45К5",55.797655,37.532035
26200000,17.081269968731327,54.0,2,3,6,метро ЦСКА,20 минут пешком,1,20,https://www.cian.ru/sale/flat/309145335/,"3-я Песчаная ул., 3",55.793333,37.516224
15800000,16.575520497997196,36.0,2,6,9,метро ЦСКА,7 минут на транспорте,0,7,https://www.cian.ru/sale/flat/315305581/,"Ленинградский просп., 45К5",55.797655,37.532035
92000000,18.33729913501332,180.8,3,8,12,метро ЦСКА,4 минуты пешком,1,4,https://www.cian.ru/sale/flat/308170174/,"Ходынский бул., 11",55.784997,37.526636
75000000,18.132998671500584,180.8,4,9,19,метро ЦСКА,7 минут на транспорте,0,7,https://www.cian.ru/sale/flat/312555722/,"ул. Викторенко, 4К1",55.798358,37.527462
19000000,16.759949537130716,39.0,1,9,9,метро ЦСКА,16 минут пешком,1,16,https://www.cian.ru/sale/flat/292588680/,"Ленинградский просп., 35С2",55.790671,37.550145
19000000,16.759949537130716,40.0,1,10,15,метро ЦСКА,16 минут пешком,1,16,https://www.cian.ru/sale/flat/292499976/,"Ленинградский просп., 35С2",55.790671,37.550145
20000000,16.811242831518264,39.0,1,9,9,метро ЦСКА,16 минут пешком,1,16,https://www.cian.ru/sale/flat/310062003/,"Ленинградский просп., 35С2",55.790671,37.550145
22850000,16.94446167530449,68.0,3,9,16,метро ЦСКА,7 минут на транспорте,0,7,https://www.cian.ru/sale/flat/314733880/,"ул. Поликарпова, 19к1",55.778532,37.548267
25500000,17.054189010128656,43.0,1,11,24,метро ЦСКА,18 минут пешком,1,18,https://www.cian.ru/sale/flat/301022785/,"Хорошевское ш., 25Ак2",55.775307,37.527238
27000000,17.111347423968603,46.0,1,3,26,метро ЦСКА,18 минут пешком,1,18,https://www.cian.ru/sale/flat/316073153/,"Хорошевское ш., 25Ак2",55.775307,37.527238
28000000,17.14771506813948,60.4,2,13,13,метро ЦСКА,10 минут пешком,1,10,https://www.cian.ru/sale/flat/315608803/,"Ходынский бул., 20А",55.790782,37.523213
29000000,17.182806387950748,46.0,1,13,26,метро ЦСКА,18 минут пешком,1,18,https://www.cian.ru/sale/flat/316073158/,"Хорошевское ш., 25Ак2",55.775307,37.527238
30000000,17.216707939626428,65.0,2,14,15,метро ЦСКА,10 минут пешком,1,10,https://www.cian.ru/sale/flat/316414282/,"Ходынский бул., 20А",55.790782,37.523213
30500000,17.23323724157764,52.3,2,7,24,метро ЦСКА,9 минут пешком,1,9,https://www.cian.ru/sale/flat/316167490/,"ул. Авиаконструктора Сухого, 2к1",55.786414,37.542572
60000000,17.909855120186375,122.0,3,10,19,метро ЦСКА,7 минут на транспорте,0,7,https://www.cian.ru/sale/flat/310642105/,"ул. Викторенко, 4К1",55.798358,37.527462
18500000,16.733281290048552,45.0,2,4,5,метро ЦСКА,5 минут на транспорте,0,5,https://www.cian.ru/sale/flat/303138573/,"Красноармейская ул., 6К2",55.798399,37.549507
80000000,18.197537192638155,122.5,3,9,24,метро ЦСКА,9 минут пешком,1,9,https://www.cian.ru/sale/flat/316117637/,"ул. Авиаконструктора Сухого, 2к1",55.786414,37.542572
41000000,17.529082624668582,83.6,2,9,15,метро ЦСКА,19 минут пешком,1,19,https://www.cian.ru/sale/flat/312733636/,"Ленинградский просп., 52",55.79727,37.540901
40000000,17.50439001207821,45.0,2,3,41,метро ЦСКА,15 минут пешком,1,15,https://www.cian.ru/sale/flat/315611651/,"Ленинградский просп., 37/7",55.793698,37.543192
24500000,17.014183675514957,47.0,1,3,15,метро ЦСКА,10 минут пешком,1,10,https://www.cian.ru/sale/flat/315508614/,"Ходынский бул., 20А",55.790782,37.523213
115000000,18.560442686327523,116.0,4,26,37,метро ЦСКА,13 минут пешком,1,13,https://www.cian.ru/sale/flat/315383765/,"Ленинградский просп., 37/6",55.794173,37.542222
25000000,17.034386382832476,54.7,2,16,21,метро ЦСКА,16 минут пешком,1,16,https://www.cian.ru/sale/flat/316115095/,"ул. Полины Осипенко, 4к2",55.779864,37.539545
22000000,16.90655301132259,40.0,1,4,17,метро ЦСКА,16 минут пешком,1,16,https://www.cian.ru/sale/flat/316683621/,"Ленинградский просп., 35С2",55.790671,37.550145
16300000,16.60667566577699,35.7,1,16,16,метро ЦСКА,20 минут пешком,1,20,https://www.cian.ru/sale/flat/312418814/,"ул. Поликарпова, 19К2",55.779089,37.547369
16650000,16.627920774390727,50.7,2,1,16,метро ЦСКА,20 минут пешком,1,20,https://www.cian.ru/sale/flat/314929504/,"ул. Поликарпова, 19К2",55.779089,37.547369
68000000,18.03501826314038,139.0,5,2,14,метро ЦСКА,12 минут пешком,1,12,https://www.cian.ru/sale/flat/311673413/,"ул. Авиаконструктора Микояна, 14к3",55.792756,37.525127
52000000,17.7667542765457,107.7,3,5,26,метро ЦСКА,13 минут пешком,1,13,https://www.cian.ru/sale/flat/315975161/,"проезд Березовой Рощи, 12",55.791177,37.52042
55000000,17.822843743196746,84.2,3,13,17,метро ЦСКА,16 минут пешком,1,16,https://www.cian.ru/sale/flat/314857592/,"Ленинградский просп., 35С2",55.790671,37.550145
42786000,17.571721504238496,86.7,3,18,27,метро ЦСКА,8 минут пешком,1,8,https://www.cian.ru/sale/flat/308437248/,"ул. Авиаконструктора Сухого, 2к2",55.787143,37.542464
55500000,17.831893578716663,92.7,2,4,9,метро ЦСКА,7 минут на транспорте,0,7,https://www.cian.ru/sale/flat/316164146/,"ул. Викторенко, 4К1",55.798358,37.527462
77800000,18.16965198914862,130.0,4,11,22,метро ЦСКА,9 минут пешком,1,9,https://www.cian.ru/sale/flat/314365685/,"ул. Авиаконструктора Сухого, 2к1",55.786414,37.542572
37500000,17.43985149094064,84.0,2,14,26,метро ЦСКА,13 минут пешком,1,13,https://www.cian.ru/sale/flat/310151784/,"проезд Березовой Рощи, 12",55.791177,37.52042
49000000,17.7073308560749,82.1,3,11,24,метро ЦСКА,9 минут пешком,1,9,https://www.cian.ru/sale/flat/310169265/,"ул. Авиаконструктора Сухого, 2к1",55.786414,37.542572
